"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:08:05:775","15752913270008","   0.104","   8.351"," 4245"," 3600"," 4300"," 4800","  27.354","   2.853","   0.792","  25.893","   2.700","   0.750"," 80","0"," 57"," 82","   0.863","   0.090","   0.025","  45.000","    0","    0"
"13:08:05:883","15753161622682","   0.212","   9.380"," 4303"," 3700"," 4400"," 4800","  31.072","   6.202","   1.723","  29.754","   5.908","   1.641"," 81","0"," 58"," 81","   0.851","   0.182","   0.050","  45.000","    0","    0"
"13:08:05:983","15753392762482","   0.312","   7.986"," 4372"," 3600"," 4400"," 4800","  28.857","   9.097","   2.527","  27.677","   8.684","   2.412"," 88","0"," 59"," 88","   0.708","   0.253","   0.070","  45.000","    0","    0"
"13:08:06:087","15753631108092","   0.416","   6.850"," 4555"," 3800"," 4600"," 4800","  31.866","  12.393","   3.443","  30.556","  11.845","   3.290"," 92","0"," 60","100","   0.670","   0.322","   0.089","  45.000","    0","    0"
"13:08:06:192","15753873185260","   0.521","   9.855"," 4351"," 3600"," 4600"," 4794","  36.309","  16.208","   4.502","  34.970","  15.519","   4.311"," 79","0"," 61","100","   0.925","   0.419","   0.116","  45.000","    0","    0"
"13:08:06:292","15754104053752","   0.621","   6.922"," 4360"," 3800"," 4500"," 4800","  28.767","  19.091","   5.303","  27.497","  18.275","   5.076"," 98","0"," 61","100","   0.836","   0.503","   0.140","  45.000","    0","    0"
"13:08:06:394","15754338717902","   0.723","   7.855"," 4358"," 3500"," 4500"," 4800","  30.320","  22.179","   6.161","  28.806","  21.208","   5.891"," 86","0"," 61","100","   0.824","   0.587","   0.163","  45.000","    0","    0"
"13:08:06:495","15754570671626","   0.824","   7.446"," 4469"," 3700"," 4600"," 4800","  30.821","  25.282","   7.023","  29.558","  24.184","   6.718"," 88","0"," 61"," 90","   0.687","   0.656","   0.182","  45.000","    0","    0"
"13:08:06:595","15754801646754","   0.924","  16.585"," 4339"," 3300"," 4600"," 4797","  53.723","  30.667","   8.519","  52.658","  29.463","   8.184"," 88","0"," 62","100","   0.809","   0.737","   0.205","  45.000","    0","    0"
"13:08:06:695","15755032581764","   1.024","  17.819"," 4258"," 3600"," 4400"," 4800","  52.337","  35.913","   9.976","  51.149","  34.590","   9.608","100","0"," 66","100","   0.901","   0.827","   0.230","  45.000","    0","    0"
"13:08:06:795","15755263720370","   1.124","  17.371"," 4205"," 3600"," 4500"," 4800","  49.463","  40.875","  11.354","  48.457","  39.451","  10.959"," 93","0"," 62","100","   1.094","   0.937","   0.260","  45.000","    0","    0"
"13:08:06:897","15755498024192","   1.226","  13.016"," 4389"," 3800"," 4600"," 4800","  47.221","  45.678","  12.688","  45.475","  44.076","  12.243","100","0"," 67","100","   0.960","   1.035","   0.287","  45.000","    0","    0"
"13:08:06:997","15755728819336","   1.326","  15.211"," 4329"," 3700"," 4600"," 4800","  51.210","  50.807","  14.113","  50.041","  49.089","  13.636"," 95","0"," 62","100","   0.969","   1.132","   0.314","  45.000","    0","    0"
"13:08:07:098","15755959952388","   1.427","  11.066"," 4488"," 3600"," 4600"," 4800","  45.003","  55.322","  15.367","  43.382","  53.441","  14.845"," 89","0"," 65","100","   0.964","   1.229","   0.341","  45.000","    0","    0"
"13:08:07:198","15756190724598","   1.527","   8.249"," 4524"," 4000"," 4600"," 4800","  36.672","  58.995","  16.388","  35.535","  57.000","  15.833","100","0"," 66","100","   0.862","   1.315","   0.365","  45.000","    0","    0"
