"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:27:02:962","26667340144466","   0.105","   7.733"," 4305"," 3700"," 4400"," 4800","  26.874","   2.819","   0.783","  25.463","   2.671","   0.742"," 73","0"," 56"," 83","   0.776","   0.081","   0.023","  45.000","    0","    0"
"14:27:03:067","26667583727208","   0.211","  10.997"," 4162"," 3200"," 4400"," 4714","  31.956","   6.197","   1.721","  30.608","   5.907","   1.641"," 67","0"," 57"," 85","   1.040","   0.191","   0.053","  45.000","    0","    0"
"14:27:03:170","26667819983934","   0.313","  10.315"," 3979"," 3200"," 4300"," 4800","  26.442","   8.909","   2.475","  25.009","   8.471","   2.353"," 79","0"," 56"," 79","   0.898","   0.283","   0.079","  45.000","    0","    0"
"14:27:03:273","26668058755336","   0.417","   8.339"," 4241"," 3700"," 4300"," 4800","  26.850","  11.691","   3.248","  25.432","  11.107","   3.085"," 75","0"," 57"," 83","   0.756","   0.362","   0.100","  45.000","    0","    0"
"14:27:03:374","26668289802760","   0.517","   9.091"," 4270"," 3500"," 4500"," 4687","  30.030","  14.703","   4.084","  28.913","  14.006","   3.891"," 72","0"," 56"," 95","   0.807","   0.443","   0.123","  45.000","    0","    0"
"14:27:03:479","26668532113046","   0.622","   7.788"," 4117"," 3500"," 4500"," 4800","  25.541","  17.389","   4.830","  24.032","  16.534","   4.593"," 94","0"," 57"," 95","   0.905","   0.538","   0.149","  45.000","    0","    0"
"14:27:03:580","26668764971694","   0.723","   7.511"," 4228"," 3600"," 4500"," 4800","  26.355","  20.052","   5.570","  24.944","  19.055","   5.293"," 71","0"," 57"," 96","   0.896","   0.628","   0.175","  45.000","    0","    0"
"14:27:03:685","26669007470434","   0.829","   7.549"," 4386"," 3800"," 4500"," 4800","  27.876","  22.986","   6.385","  26.726","  21.867","   6.074"," 77","0"," 58"," 82","   0.684","   0.700","   0.195","  45.000","    0","    0"
"14:27:03:789","26669245509236","   0.932","  12.034"," 4361"," 3700"," 4600"," 4800","  42.283","  27.355","   7.599","  40.958","  26.099","   7.250"," 93","0"," 57"," 96","   0.722","   0.775","   0.215","  45.000","    0","    0"
"14:27:03:890","26669478167030","   1.033","  17.552"," 4349"," 3600"," 4600"," 4800","  55.733","  32.983","   9.162","  54.402","  31.593","   8.776"," 88","0"," 59"," 98","   0.882","   0.864","   0.240","  45.000","    0","    0"
