"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:47:24:711","4599249585794","   0.105","   8.343"," 4256"," 3200"," 4400"," 4800","  27.352","   2.873","   0.798","  25.810","   2.711","   0.753"," 77","0"," 57"," 78","   0.808","   0.085","   0.024","  45.000","    0","    0"
"11:47:24:816","4599491839460","   0.210","   9.150"," 4269"," 3700"," 4400"," 4800","  29.576","   5.983","   1.662","  28.454","   5.703","   1.584"," 69","0"," 57"," 87","   0.776","   0.166","   0.046","  45.000","    0","    0"
"11:47:24:918","4599727842608","   0.313","   9.271"," 4236"," 2500"," 4400"," 4788","  28.981","   8.951","   2.486","  27.507","   8.520","   2.367"," 86","0"," 60"," 87","   0.822","   0.251","   0.070","  45.000","    0","    0"
"11:47:25:019","4599959114606","   0.413","   8.244"," 4301"," 3500"," 4400"," 4800","  28.532","  11.815","   3.282","  27.427","  11.273","   3.131"," 76","0"," 59"," 88","   0.680","   0.319","   0.089","  45.000","    0","    0"
"11:47:25:123","4600200471080","   0.518","   9.156"," 4316"," 3700"," 4400"," 4800","  30.561","  15.017","   4.171","  29.174","  14.330","   3.980"," 81","0"," 60"," 86","   0.792","   0.402","   0.112","  45.000","    0","    0"
"11:47:25:228","4600442759386","   0.623","   7.294"," 4239"," 3500"," 4400"," 4800","  26.627","  17.817","   4.949","  25.199","  16.979","   4.717"," 98","0"," 60"," 98","   0.867","   0.493","   0.137","  45.000","    0","    0"
"11:47:25:332","4600681722654","   0.727","   7.346"," 4344"," 3700"," 4500"," 4800","  28.456","  20.768","   5.769","  26.963","  19.776","   5.493"," 77","0"," 60"," 99","   0.885","   0.585","   0.162","  45.000","    0","    0"
"11:47:25:433","4600912921186","   0.827","   7.456"," 4475"," 3700"," 4600"," 4800","  30.116","  23.790","   6.608","  29.019","  22.688","   6.302"," 87","0"," 60"," 88","   0.672","   0.652","   0.181","  45.000","    0","    0"
"11:47:25:533","4601144134616","   0.927","  15.273"," 4201"," 3500"," 4600"," 4800","  46.267","  28.433","   7.898","  44.942","  27.198","   7.555"," 82","0"," 60"," 92","   0.818","   0.734","   0.204","  45.000","    0","    0"
"11:47:25:634","4601378078556","   1.029","  17.697"," 4315"," 3700"," 4400"," 4800","  53.518","  33.867","   9.408","  52.331","  32.512","   9.031"," 84","0"," 65"," 93","   0.880","   0.824","   0.229","  45.000","    0","    0"
"11:47:25:735","4601609131712","   1.129","  16.550"," 4268"," 3600"," 4500"," 4800","  48.784","  38.760","  10.767","  47.821","  37.307","  10.363"," 84","0"," 66"," 92","   1.023","   0.926","   0.257","  45.000","    0","    0"
"11:47:25:838","4601846088602","   1.232","  16.660"," 4177"," 3500"," 4500"," 4794","  48.872","  43.786","  12.163","  47.101","  42.151","  11.709"," 94","0"," 64"," 96","   1.209","   1.051","   0.292","  45.000","    0","    0"
"11:47:25:943","4602088288416","   1.337","  15.687"," 4210"," 3500"," 4400"," 4800","  45.463","  48.565","  13.490","  43.820","  46.758","  12.988"," 99","0"," 63"," 99","   0.973","   1.153","   0.320","  45.000","    0","    0"
"11:47:26:043","4602319977522","   1.438","  11.866"," 4375"," 3600"," 4600"," 4800","  40.835","  52.671","  14.631","  39.749","  50.755","  14.099"," 85","0"," 66"," 99","   0.961","   1.250","   0.347","  45.000","    0","    0"
