"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"10:58:12:543","1511940959440","   0.103","  10.437"," 3815"," 3200"," 4400"," 4800","  23.038","   2.382","   0.662","  21.808","   2.255","   0.626"," 81","0"," 57"," 82","   0.849","   0.088","   0.024","  45.000","    0","    0"
"10:58:12:652","1512193022472","   0.213","   8.743"," 4310"," 3600"," 4400"," 4775","  29.891","   5.652","   1.570","  28.532","   5.377","   1.493"," 79","0"," 60"," 84","   0.770","   0.172","   0.048","  45.000","    0","    0"
"10:58:12:753","1512424861072","   0.313","   8.722"," 4344"," 3600"," 4400"," 4800","  30.556","   8.727","   2.424","  29.372","   8.332","   2.314"," 81","0"," 62"," 86","   0.798","   0.252","   0.070","  45.000","    0","    0"
"10:58:12:853","1512656110578","   0.414","   8.011"," 4416"," 3700"," 4600"," 4800","  30.185","  11.757","   3.266","  28.828","  11.226","   3.118"," 93","0"," 61"," 94","   0.729","   0.325","   0.090","  45.000","    0","    0"
"10:58:12:954","1512887588236","   0.514","   9.033"," 4451"," 3600"," 4600"," 4800","  35.671","  15.341","   4.261","  34.556","  14.697","   4.083"," 75","0"," 62"," 99","   0.827","   0.409","   0.113","  45.000","  300","  333"
"10:58:13:059","1513130258040","   0.620","   6.596"," 4262"," 3500"," 4600"," 4800","  25.884","  18.067","   5.019","  24.653","  17.294","   4.804"," 90","0"," 62","100","   0.752","   0.488","   0.135","  45.000","    0","    0"
"10:58:13:164","1513372449972","   0.725","   6.742"," 4314"," 3600"," 4600"," 4800","  25.360","  20.733","   5.759","  24.121","  19.829","   5.508"," 83","0"," 62"," 94","   0.852","   0.577","   0.160","  45.000","    0","    0"
"10:58:13:269","1513613833698","   0.829","   6.411"," 4422"," 3500"," 4600"," 4800","  29.014","  23.772","   6.603","  27.699","  22.731","   6.314"," 87","0"," 63","100","   0.745","   0.655","   0.182","  45.000","    0","    0"
"10:58:13:371","1513847830868","   0.931","   8.641"," 4217"," 3500"," 4600"," 4800","  30.577","  26.878","   7.466","  29.345","  25.712","   7.142","100","0"," 62","100","   0.800","   0.737","   0.205","  45.000","    0","    0"
"10:58:13:473","1514083697990","   1.033","   8.346"," 4416"," 3600"," 4600"," 4800","  32.544","  30.209","   8.392","  31.513","  28.938","   8.038"," 80","0"," 63","100","   0.762","   0.815","   0.226","  45.000","    0","    0"
