"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:14:00:700","3696516902938","   0.102","   9.768"," 4015"," 3200"," 4300"," 4800","  25.880","   2.628","   0.730","  24.658","   2.504","   0.696"," 88","0"," 62"," 90","   0.838","   0.085","   0.024","  45.000","    0","    0"
"11:14:00:806","3696759366584","   0.207","  10.187"," 4309"," 3500"," 4500"," 4800","  35.006","   6.312","   1.753","  33.568","   6.037","   1.677","100","0"," 65","100","   0.900","   0.180","   0.050","  45.000","    0","    0"
"11:14:00:907","3696993049606","   0.308","  11.474"," 4088"," 3500"," 4500"," 4792","  31.987","   9.557","   2.655","  30.664","   9.147","   2.541"," 87","0"," 65","100","   1.000","   0.281","   0.078","  45.000","    0","    0"
"11:14:01:007","3697224199244","   0.409","  10.103"," 4170"," 3500"," 4400"," 4795","  30.360","  12.602","   3.501","  29.181","  12.074","   3.354"," 90","0"," 66"," 98","   0.809","   0.362","   0.101","  45.000","    0","    0"
"11:14:01:108","3697455115514","   0.509","   9.692"," 4335"," 3300"," 4400"," 4800","  33.034","  15.913","   4.420","  31.546","  15.236","   4.232"," 90","0"," 67"," 93","   0.800","   0.443","   0.123","  45.000","    0","    0"
"11:14:01:208","3697686601206","   0.609","  10.322"," 3975"," 3500"," 4500"," 4756","  26.692","  18.595","   5.165","  25.360","  17.784","   4.940"," 93","0"," 65"," 97","   0.966","   0.540","   0.150","  45.000","    0","    0"
"11:14:01:313","3697928787220","   0.714","   8.257"," 3949"," 3500"," 4500"," 4800","  22.689","  20.980","   5.828","  21.439","  20.038","   5.566"," 85","0"," 65"," 95","   0.887","   0.633","   0.176","  45.000","    0","    0"
"11:14:01:413","3698159962102","   0.815","   8.119"," 4351"," 3500"," 4600"," 4800","  30.091","  23.999","   6.666","  28.714","  22.919","   6.366"," 86","0"," 67","100","   0.896","   0.723","   0.201","  45.000","    0","    0"
"11:14:01:519","3698402145654","   0.920","   8.489"," 4014"," 3500"," 4600"," 4800","  25.686","  26.699","   7.416","  24.432","  25.487","   7.080"," 85","0"," 65","100","   0.854","   0.813","   0.226","  45.000","    0","    0"
"11:14:01:622","3698639721314","   1.023","   9.341"," 4354"," 3700"," 4600"," 4800","  33.989","  30.204","   8.390","  32.777","  28.867","   8.018"," 91","0"," 66","100","   0.796","   0.895","   0.248","  45.000","    0","    0"
"11:14:01:725","3698876743086","   1.126","   8.731"," 4206"," 3500"," 4600"," 4795","  29.099","  33.198","   9.222","  27.647","  31.711","   8.809"," 84","0"," 65"," 97","   0.816","   0.979","   0.272","  45.000","    0","    0"
"11:14:01:826","3699110115660","   1.227","   9.295"," 4325"," 3600"," 4500"," 4800","  32.387","  36.478","  10.133","  31.215","  34.872","   9.687"," 98","0"," 68","100","   0.855","   1.065","   0.296","  45.000","    0","    0"
"11:14:01:926","3699341152854","   1.327","  18.781"," 4143"," 3500"," 4600"," 4800","  50.456","  41.537","  11.538","  49.512","  39.837","  11.066"," 98","0"," 69","100","   1.053","   1.171","   0.325","  45.000","    0","    0"
"11:14:02:027","3699572672642","   1.428","  20.606"," 4176"," 3500"," 4500"," 4800","  58.211","  47.387","  13.163","  56.393","  45.504","  12.640"," 91","0"," 69","100","   0.990","   1.270","   0.353","  45.000","    0","    0"
"11:14:02:128","3699806822326","   1.529","  18.745"," 4162"," 3500"," 4500"," 4800","  53.140","  52.787","  14.663","  52.159","  50.805","  14.112"," 95","0"," 73","100","   1.072","   1.379","   0.383","  45.000","    0","    0"
"11:14:02:229","3700038335108","   1.630","  19.236"," 3989"," 3500"," 4300"," 4800","  46.395","  57.449","  15.958","  44.455","  55.272","  15.353"," 87","0"," 70"," 99","   1.323","   1.512","   0.420","  45.000","    0","    0"
"11:14:02:329","3700269856562","   1.730","  16.183"," 4045"," 3500"," 4300"," 4800","  41.370","  61.606","  17.113","  40.090","  59.300","  16.472"," 85","0"," 69","100","   1.046","   1.617","   0.449","  45.000","    0","    0"
"11:14:02:434","3700512173560","   1.836","  13.688"," 4208"," 3500"," 4400"," 4800","  41.159","  65.935","  18.315","  39.428","  63.447","  17.624"," 95","0"," 70","100","   1.082","   1.731","   0.481","  45.000","    0","    0"
"11:14:02:540","3700754370460","   1.941","  10.330"," 4334"," 3600"," 4500"," 4796","  36.824","  69.806","  19.391","  35.556","  67.185","  18.662","100","0"," 70","100","   0.965","   1.832","   0.509","  45.000","    0","    0"
"11:14:02:641","3700987835054","   2.042","  13.241"," 4316"," 3500"," 4500"," 4800","  44.204","  74.285","  20.635","  42.890","  71.531","  19.870"," 99","0"," 70","100","   1.043","   1.938","   0.538","  45.000","    0","    0"
"11:14:02:746","3701230399054","   2.147","  15.753"," 4186"," 3500"," 4500"," 4800","  45.957","  79.124","  21.979","  44.713","  76.238","  21.177"," 91","0"," 70","100","   1.187","   2.063","   0.573","  45.000","    0","    0"
"11:14:02:846","3701461560172","   2.248","  17.224"," 4081"," 3400"," 4400"," 4800","  46.597","  83.799","  23.277","  44.685","  80.721","  22.423"," 94","0"," 70","100","   1.110","   2.174","   0.604","  45.000","    0","    0"
"11:14:02:947","3701693906276","   2.349","  16.902"," 3947"," 3500"," 4500"," 4800","  40.187","  87.851","  24.403","  39.069","  84.661","  23.517","100","0"," 70","100","   1.134","   2.289","   0.636","  45.000","    0","    0"
"11:14:03:048","3701927084820","   2.450","  10.851"," 4014"," 3500"," 4600"," 4800","  29.225","  90.809","  25.225","  27.604","  87.455","  24.293"," 85","0"," 71","100","   1.060","   2.396","   0.666","  45.000","    0","    0"
"11:14:03:154","3702169336900","   2.555","  10.017"," 4496"," 3600"," 4600"," 4800","  40.594","  95.077","  26.410","  39.299","  91.587","  25.441"," 94","0"," 72","100","   0.885","   2.489","   0.691","  45.000","    0","    0"
"11:14:03:254","3702400406726","   2.655","   7.573"," 4476"," 3600"," 4600"," 4790","  33.951","  98.482","  27.356","  32.624","  94.859","  26.350"," 91","0"," 73"," 99","   0.789","   2.568","   0.713","  45.000","    0","    0"
"11:14:03:358","3702639779988","   2.759","   9.529"," 3584"," 1900"," 4400"," 3842","  22.282"," 100.797","  27.999","  20.957","  97.036","  26.955","100","0"," 67","100","   0.808","   2.652","   0.737","  45.000","    0","    0"
"11:14:03:458","3702871033236","   2.859","   8.296"," 4315"," 3400"," 4500"," 4800","  33.738"," 104.183","  28.940","  32.536"," 100.302","  27.862","100","0"," 70","100","   0.839","   2.736","   0.760","  45.000","    0","    0"
"11:14:03:560","3703105876390","   2.961","   8.177"," 4289"," 3700"," 4500"," 4800","  32.323"," 107.478","  29.855","  30.976"," 103.459","  28.739","100","0"," 69","100","   0.780","   2.816","   0.782","  45.000","    0","    0"
